repository,issue_number,issue_url,state,decision,decision_provenance
infiniflow/ragflow,2231,https://github.com/infiniflow/ragflow/issues/2231,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,2243,https://github.com/infiniflow/ragflow/issues/2243,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2258,https://github.com/infiniflow/ragflow/issues/2258,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2263,https://github.com/infiniflow/ragflow/issues/2263,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2270,https://github.com/infiniflow/ragflow/issues/2270,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,2275,https://github.com/infiniflow/ragflow/issues/2275,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2296,https://github.com/infiniflow/ragflow/issues/2296,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2297,https://github.com/infiniflow/ragflow/issues/2297,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2300,https://github.com/infiniflow/ragflow/issues/2300,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2310,https://github.com/infiniflow/ragflow/issues/2310,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2315,https://github.com/infiniflow/ragflow/issues/2315,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2329,https://github.com/infiniflow/ragflow/issues/2329,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2332,https://github.com/infiniflow/ragflow/issues/2332,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2333,https://github.com/infiniflow/ragflow/issues/2333,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2359,https://github.com/infiniflow/ragflow/issues/2359,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,2362,https://github.com/infiniflow/ragflow/issues/2362,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,2367,https://github.com/infiniflow/ragflow/issues/2367,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
